"year","batt_eff","batt_lifetime_yrs","sector_abbr"
2014,0.8290000000000001,10,res
2015,0.8290000000000001,10,res
2016,0.8290000000000001,10,res
2017,0.8290000000000001,10,res
2018,0.8290000000000001,10,res
2019,0.8290000000000001,10,res
2020,0.8290000000000001,10,res
2021,0.8290000000000001,10,res
2022,0.8290000000000001,10,res
2023,0.8290000000000001,10,res
2024,0.8290000000000001,10,res
2025,0.8290000000000001,10,res
2026,0.8290000000000001,10,res
2027,0.8290000000000001,10,res
2028,0.8290000000000001,10,res
2029,0.8290000000000001,10,res
2030,0.8290000000000001,10,res
2031,0.8290000000000001,10,res
2032,0.8290000000000001,10,res
2033,0.8290000000000001,10,res
2034,0.8290000000000001,10,res
2035,0.8290000000000001,10,res
2036,0.8290000000000001,10,res
2037,0.8290000000000001,10,res
2038,0.8290000000000001,10,res
2039,0.8290000000000001,10,res
2040,0.8290000000000001,10,res
2041,0.8290000000000001,10,res
2042,0.8290000000000001,10,res
2043,0.8290000000000001,10,res
2044,0.8290000000000001,10,res
2045,0.8290000000000001,10,res
2046,0.8290000000000001,10,res
2047,0.8290000000000001,10,res
2048,0.8290000000000001,10,res
2049,0.8290000000000001,10,res
2050,0.8290000000000001,10,res
2051,0.8290000000000001,10,res
2052,0.8290000000000001,10,res
2053,0.8290000000000001,10,res
2054,0.8290000000000001,10,res
2055,0.8290000000000001,10,res
2056,0.8290000000000001,10,res
2057,0.8290000000000001,10,res
2058,0.8290000000000001,10,res
2059,0.8290000000000001,10,res
2060,0.8290000000000001,10,res
2061,0.8290000000000001,10,res
2062,0.8290000000000001,10,res
2063,0.8290000000000001,10,res
2064,0.8290000000000001,10,res
2065,0.8290000000000001,10,res
2066,0.8290000000000001,10,res
2067,0.8290000000000001,10,res
2068,0.8290000000000001,10,res
2069,0.8290000000000001,10,res
2070,0.8290000000000001,10,res
2071,0.8290000000000001,10,res
2072,0.8290000000000001,10,res
2073,0.8290000000000001,10,res
2074,0.8290000000000001,10,res
2075,0.8290000000000001,10,res
2014,0.8290000000000001,10,ind
2015,0.8290000000000001,10,ind
2016,0.8290000000000001,10,ind
2017,0.8290000000000001,10,ind
2018,0.8290000000000001,10,ind
2019,0.8290000000000001,10,ind
2020,0.8290000000000001,10,ind
2021,0.8290000000000001,10,ind
2022,0.8290000000000001,10,ind
2023,0.8290000000000001,10,ind
2024,0.8290000000000001,10,ind
2025,0.8290000000000001,10,ind
2026,0.8290000000000001,10,ind
2027,0.8290000000000001,10,ind
2028,0.8290000000000001,10,ind
2029,0.8290000000000001,10,ind
2030,0.8290000000000001,10,ind
2031,0.8290000000000001,10,ind
2032,0.8290000000000001,10,ind
2033,0.8290000000000001,10,ind
2034,0.8290000000000001,10,ind
2035,0.8290000000000001,10,ind
2036,0.8290000000000001,10,ind
2037,0.8290000000000001,10,ind
2038,0.8290000000000001,10,ind
2039,0.8290000000000001,10,ind
2040,0.8290000000000001,10,ind
2041,0.8290000000000001,10,ind
2042,0.8290000000000001,10,ind
2043,0.8290000000000001,10,ind
2044,0.8290000000000001,10,ind
2045,0.8290000000000001,10,ind
2046,0.8290000000000001,10,ind
2047,0.8290000000000001,10,ind
2048,0.8290000000000001,10,ind
2049,0.8290000000000001,10,ind
2050,0.8290000000000001,10,ind
2051,0.8290000000000001,10,ind
2052,0.8290000000000001,10,ind
2053,0.8290000000000001,10,ind
2054,0.8290000000000001,10,ind
2055,0.8290000000000001,10,ind
2056,0.8290000000000001,10,ind
2057,0.8290000000000001,10,ind
2058,0.8290000000000001,10,ind
2059,0.8290000000000001,10,ind
2060,0.8290000000000001,10,ind
2061,0.8290000000000001,10,ind
2062,0.8290000000000001,10,ind
2063,0.8290000000000001,10,ind
2064,0.8290000000000001,10,ind
2065,0.8290000000000001,10,ind
2066,0.8290000000000001,10,ind
2067,0.8290000000000001,10,ind
2068,0.8290000000000001,10,ind
2069,0.8290000000000001,10,ind
2070,0.8290000000000001,10,ind
2071,0.8290000000000001,10,ind
2072,0.8290000000000001,10,ind
2073,0.8290000000000001,10,ind
2074,0.8290000000000001,10,ind
2075,0.8290000000000001,10,ind
2014,0.8290000000000001,10,com
2015,0.8290000000000001,10,com
2016,0.8290000000000001,10,com
2017,0.8290000000000001,10,com
2018,0.8290000000000001,10,com
2019,0.8290000000000001,10,com
2020,0.8290000000000001,10,com
2021,0.8290000000000001,10,com
2022,0.8290000000000001,10,com
2023,0.8290000000000001,10,com
2024,0.8290000000000001,10,com
2025,0.8290000000000001,10,com
2026,0.8290000000000001,10,com
2027,0.8290000000000001,10,com
2028,0.8290000000000001,10,com
2029,0.8290000000000001,10,com
2030,0.8290000000000001,10,com
2031,0.8290000000000001,10,com
2032,0.8290000000000001,10,com
2033,0.8290000000000001,10,com
2034,0.8290000000000001,10,com
2035,0.8290000000000001,10,com
2036,0.8290000000000001,10,com
2037,0.8290000000000001,10,com
2038,0.8290000000000001,10,com
2039,0.8290000000000001,10,com
2040,0.8290000000000001,10,com
2041,0.8290000000000001,10,com
2042,0.8290000000000001,10,com
2043,0.8290000000000001,10,com
2044,0.8290000000000001,10,com
2045,0.8290000000000001,10,com
2046,0.8290000000000001,10,com
2047,0.8290000000000001,10,com
2048,0.8290000000000001,10,com
2049,0.8290000000000001,10,com
2050,0.8290000000000001,10,com
2051,0.8290000000000001,10,com
2052,0.8290000000000001,10,com
2053,0.8290000000000001,10,com
2054,0.8290000000000001,10,com
2055,0.8290000000000001,10,com
2056,0.8290000000000001,10,com
2057,0.8290000000000001,10,com
2058,0.8290000000000001,10,com
2059,0.8290000000000001,10,com
2060,0.8290000000000001,10,com
2061,0.8290000000000001,10,com
2062,0.8290000000000001,10,com
2063,0.8290000000000001,10,com
2064,0.8290000000000001,10,com
2065,0.8290000000000001,10,com
2066,0.8290000000000001,10,com
2067,0.8290000000000001,10,com
2068,0.8290000000000001,10,com
2069,0.8290000000000001,10,com
2070,0.8290000000000001,10,com
2071,0.8290000000000001,10,com
2072,0.8290000000000001,10,com
2073,0.8290000000000001,10,com
2074,0.8290000000000001,10,com
2075,0.8290000000000001,10,com
