"year","tech","batt_replace_frac_kw","batt_replace_frac_kwh","system_capex_per_kw","batt_capex_per_kwh","batt_capex_per_kw","linear_constant","batt_om_per_kw","batt_om_per_kwh","sector_abbr"
2014,"pv,batt",0,1,2804.6339151085413,440.1248142530457,775.3350025011388,11132.003395384294,0.0,0.0,res
2015,"pv,batt",0,1,2689.969736725237,419.94547274475923,757.1869697798173,10775.016702107388,0.0,0.0,res
2016,"pv,batt",0,1,2575.3055583419336,399.7661312364653,739.0389370584891,10418.030008830596,0.0,0.0,res
2017,"pv,batt",0,1,2460.641379958659,379.5867897281787,720.8909043371605,10061.043315553688,0.0,0.0,res
2018,"pv,batt",0,1,2345.977201575355,359.4074482198921,702.7428716158321,9704.056622276898,0.0,0.0,res
2019,"pv,batt",0,1,2245.739721151658,362.5521421863784,710.1338168061712,9511.591153522098,0.0,0.0,res
2020,"pv,batt",0,1,2122.3018625439363,333.07275765952016,676.6834100789192,9056.904929349468,0.0,0.0,res
2021,"pv,batt",0,1,2001.9777779877484,304.13930440174784,648.5820169659477,8636.052207582135,0.0,0.0,res
2022,"pv,batt",0,1,1881.8047422485529,275.1872012464748,620.4689316618517,8214.055738463532,0.0,0.0,res
2023,"pv,batt",0,1,1764.3274959924177,246.73133692168813,597.1285700055178,7822.806832409877,0.0,0.0,res
2024,"pv,batt",0,1,1648.939965134966,218.6692877218961,577.542843908643,7455.956865051129,0.0,0.0,res
2025,"pv,batt",0,1,1535.1736433536967,190.91870548750273,560.905689782576,7108.402452923951,0.0,0.0,res
2026,"pv,batt",0,1,1423.2548158102163,179.27268899400218,547.7184112494647,6783.758563591861,0.0,0.0,res
2027,"pv,batt",0,1,1312.004353354982,169.0592252661855,535.7527673742513,6467.131623540703,0.0,0.0,res
2028,"pv,batt",0,1,1201.344329831167,160.60257271584533,524.8757532665827,6157.683748812647,0.0,0.0,res
2029,"pv,batt",0,1,1090.6253258695683,152.84523148255562,513.8275206427644,5846.87713050323,0.0,0.0,res
2030,"pv,batt",0,1,980.4264717279559,145.85028690843737,503.7481753837785,5542.4961459789565,0.0,0.0,res
2031,"pv,batt",0,1,968.66209536345,144.0271511985681,497.4514647815536,5474.315646601328,0.0,0.0,res
2032,"pv,batt",0,1,956.8977189989446,142.20401548869881,491.15475417932913,5406.135147223695,0.0,0.0,res
2033,"pv,batt",0,1,945.133342634438,140.38087977882938,484.8580435771048,5337.954647846072,0.0,0.0,res
2034,"pv,batt",0,1,933.3689662699327,138.55774406895983,478.56133297488054,5269.774148468438,0.0,0.0,res
2035,"pv,batt",0,1,921.6045899054268,136.73460835909046,472.26462237265605,5201.593649090813,0.0,0.0,res
2036,"pv,batt",0,1,909.8402135409207,134.91147264922122,465.9679117704314,5133.413149713182,0.0,0.0,res
2037,"pv,batt",0,1,898.0758371764148,133.0883369393519,459.67120116820684,5065.232650335551,0.0,0.0,res
