"year","batt_replace_frac_kw","batt_replace_frac_kwh","batt_capex_per_kwh","batt_capex_per_kw","linear_constant","batt_om_per_kw","batt_om_per_kwh","sector_abbr"
2042,0.174,1,121.32437069999999,1068.86995,4240.725192,0,0,res
2043,0.174,1,119.54018870000002,1053.151274,4178.361586,0,0,res
2044,0.174,1,117.7560068,1037.432598,4115.997981,0,0,res
2045,0.174,1,115.9718249,1021.713923,4053.634375,0,0,res
2046,0.174,1,114.187643,1005.9952470000001,3991.2707689999997,0,0,res
2047,0.174,1,112.4034611,990.2765713,3928.9071630000003,0,0,res
2048,0.174,1,110.6192791,974.5578955,3866.543558,0,0,res
2049,0.174,1,108.8350972,958.8392197999999,3804.1799520000004,0,0,res
2050,0.174,1,107.0509153,943.1205441,3741.816346,0,0,res
2014,0.174,1,307.7060752,611.1089537,401140.9772,0,0,com
2015,0.174,1,293.2310937,596.2668043,392636.7222,0,0,com
2016,0.174,1,278.75611210000005,581.4246549,384132.4673,0,0,com
2017,0.174,1,264.2811305,566.5825056,375628.2123,0,0,com
2018,0.174,1,249.80614900000003,551.7403562000001,367123.9573,0,0,com
2019,0.174,1,251.9745949,556.7991059999999,370039.1732,0,0,com
2020,0.174,1,230.9638435,530.6463223999999,354769.2644,0,0,com
2021,0.174,1,210.24919939999998,508.1041897,341836.5766,0,0,com
2022,0.174,1,189.5220763,485.4848774,328805.39,0,0,com
2023,0.174,1,169.06534340000002,466.1234308,317908.4344,0,0,com
2024,0.174,1,148.82364809999999,449.33851969999995,308708.8038,0,0,com
2025,0.174,1,128.7523148,434.5857248,300853.86699999997,0,0,com
2026,0.174,1,120.452882,424.1114907,294601.4371,0,0,com
2027,0.174,1,113.18241110000001,414.6362923,288908.0996,0,0,com
2028,0.174,1,107.18192659999998,406.1109125,283716.0352,0,0,com
2029,0.174,1,101.6992372,397.53824610000004,278425.0852,0,0,com
2030,0.174,1,96.75774766,389.7175101,273583.4334,0,0,com
2031,0.174,1,95.54827581,384.8460412,270163.6405,0,0,com
2032,0.174,1,94.33880396,379.97457230000003,266743.8475,0,0,com
2033,0.174,1,93.12933212,375.10310350000003,263324.0546,0,0,com
2034,0.174,1,91.91986027,370.23163460000006,259904.2617,0,0,com
2035,0.174,1,90.71038843,365.3601657,256484.4688,0,0,com
2036,0.174,1,89.50091658,360.4886968,253064.6759,0,0,com
2037,0.174,1,88.29144474,355.61722799999995,249644.883,0,0,com
2038,0.174,1,87.08197289,350.7457591,246225.09,0,0,com
2039,0.174,1,85.87250104,345.87429019999996,242805.2971,0,0,com
2040,0.174,1,84.6630292,341.0028213,239385.5042,0,0,com
2041,0.174,1,83.45355735,336.1313525,235965.7113,0,0,com
2042,0.174,1,82.24408551,331.2598836,232545.9184,0,0,com
2043,0.174,1,81.03461366,326.3884147,229126.1255,0,0,com
2044,0.174,1,79.82514182,321.51694580000003,225706.3325,0,0,com
2045,0.174,1,78.61566997,316.645477,222286.5396,0,0,com
2046,0.174,1,77.40619812,311.7740081,218866.7467,0,0,com
2047,0.174,1,76.19672628,306.9025392,215446.9538,0,0,com
2048,0.174,1,74.98725443,302.0310703,212027.1609,0,0,com
2049,0.174,1,73.77778259,297.1596015,208607.36800000002,0,0,com
2050,0.174,1,72.56831074,292.28813260000004,205187.575,0,0,com
2014,0.174,1,307.7060752,611.1089537,401140.9772,0,0,ind
2015,0.174,1,293.2310937,596.2668043,392636.7222,0,0,ind
2016,0.174,1,278.75611210000005,581.4246549,384132.4673,0,0,ind
2017,0.174,1,264.2811305,566.5825056,375628.2123,0,0,ind
2018,0.174,1,249.80614900000003,551.7403562000001,367123.9573,0,0,ind
2019,0.174,1,251.9745949,556.7991059999999,370039.1732,0,0,ind
2020,0.174,1,230.9638435,530.6463223999999,354769.2644,0,0,ind
2021,0.174,1,210.24919939999998,508.1041897,341836.5766,0,0,ind
2022,0.174,1,189.5220763,485.4848774,328805.39,0,0,ind
2023,0.174,1,169.06534340000002,466.1234308,317908.4344,0,0,ind
2024,0.174,1,148.82364809999999,449.33851969999995,308708.8038,0,0,ind
2025,0.174,1,128.7523148,434.5857248,300853.86699999997,0,0,ind
2026,0.174,1,120.452882,424.1114907,294601.4371,0,0,ind
2027,0.174,1,113.18241110000001,414.6362923,288908.0996,0,0,ind
2028,0.174,1,107.18192659999998,406.1109125,283716.0352,0,0,ind
2029,0.174,1,101.6992372,397.53824610000004,278425.0852,0,0,ind
2030,0.174,1,96.75774766,389.7175101,273583.4334,0,0,ind
2031,0.174,1,95.54827581,384.8460412,270163.6405,0,0,ind
2032,0.174,1,94.33880396,379.97457230000003,266743.8475,0,0,ind
2033,0.174,1,93.12933212,375.10310350000003,263324.0546,0,0,ind
2034,0.174,1,91.91986027,370.23163460000006,259904.2617,0,0,ind
2035,0.174,1,90.71038843,365.3601657,256484.4688,0,0,ind
2036,0.174,1,89.50091658,360.4886968,253064.6759,0,0,ind
2037,0.174,1,88.29144474,355.61722799999995,249644.883,0,0,ind
2038,0.174,1,87.08197289,350.7457591,246225.09,0,0,ind
2039,0.174,1,85.87250104,345.87429019999996,242805.2971,0,0,ind
2040,0.174,1,84.6630292,341.0028213,239385.5042,0,0,ind
2041,0.174,1,83.45355735,336.1313525,235965.7113,0,0,ind
2042,0.174,1,82.24408551,331.2598836,232545.9184,0,0,ind
2043,0.174,1,81.03461366,326.3884147,229126.1255,0,0,ind
2044,0.174,1,79.82514182,321.51694580000003,225706.3325,0,0,ind
2045,0.174,1,78.61566997,316.645477,222286.5396,0,0,ind
2046,0.174,1,77.40619812,311.7740081,218866.7467,0,0,ind
2047,0.174,1,76.19672628,306.9025392,215446.9538,0,0,ind
2048,0.174,1,74.98725443,302.0310703,212027.1609,0,0,ind
2049,0.174,1,73.77778259,297.1596015,208607.36800000002,0,0,ind
2050,0.174,1,72.56831074,292.28813260000004,205187.575,0,0,ind
