"year","batt_replace_frac_kw","batt_replace_frac_kwh","batt_capex_per_kwh","batt_capex_per_kw","linear_constant","batt_om_per_kw","batt_om_per_kwh","sector_abbr"
2014,0.174,1,434.8347214,1947.3091570000001,7315.237607999999,0,0,res
2015,0.174,1,414.8013305,1901.1956519999999,7160.153362000001,0,0,res
2016,0.174,1,394.7679395,1855.0821469999998,7005.069117,0,0,res
2017,0.174,1,374.73454849999996,1808.968641,6849.984871,0,0,res
2018,0.174,1,354.7011575,1762.855136,6694.900626,0,0,res
2019,0.174,1,357.769091,1782.1113679999999,6748.062726,0,0,res
2020,0.174,1,328.5711,1696.7802399999998,6469.5995,0,0,res
2021,0.174,1,299.8709716,1625.1757519999999,6233.758013000001,0,0,res
2022,0.174,1,271.14986160000007,1553.6016630000001,5996.120295000001,0,0,res
2023,0.174,1,242.8833743,1494.243765,5797.402578,0,0,res
2024,0.174,1,214.97844229999998,1444.484303,5629.637409,0,0,res
2025,0.174,1,187.35995,1402.255034,5486.394179999999,0,0,res
2026,0.174,1,175.81750290000002,1368.817325,5372.374389,0,0,res
2027,0.174,1,165.6972907,1338.498208,5268.550249,0,0,res
2028,0.174,1,157.3247749,1310.956174,5173.867365,0,0,res
2029,0.174,1,149.6524809,1282.9903279999999,5077.381195,0,0,res
2030,0.174,1,142.73455369999996,1257.4940589999999,4989.088461,0,0,res
2031,0.174,1,140.9503718,1241.775383,4926.724856,0,0,res
2032,0.174,1,139.1661899,1226.056707,4864.36125,0,0,res
2033,0.174,1,137.382008,1210.338032,4801.997644,0,0,res
2034,0.174,1,135.597826,1194.6193560000002,4739.634038,0,0,res
2035,0.174,1,133.81364409999998,1178.90068,4677.270433,0,0,res
2036,0.174,1,132.02946219999998,1163.182004,4614.906827000001,0,0,res
2037,0.174,1,130.24528030000002,1147.463329,4552.543221,0,0,res
2038,0.174,1,128.4610983,1131.744653,4490.179615,0,0,res
2039,0.174,1,126.67691640000001,1116.025977,4427.8160100000005,0,0,res
2040,0.174,1,124.8927345,1100.307301,4365.452404,0,0,res
2041,0.174,1,123.10855259999998,1084.588626,4303.088798,0,0,res
